index	cat_index	prefix	series	mat_code	material_name
1	1	ST	1	ST000001	Cement
2	1	ST	2	ST000002	S-1 Sand
3	1	ST	3	ST000003	River Sand
4	1	ST	4	ST000004	Gravel
5	1	ST	5	ST000005	"5"" CHB"
6	1	ST	6	ST000006	"4"" CHB"
7	1	ST	7	ST000007	20mm dia
8	1	ST	8	ST000008	16mm dia (G33)
9	1	ST	9	ST000009	12mm dia (G33)
10	1	ST	10	ST000010	10mm dia (G33)
11	1	ST	11	ST000011	GI Wire #16 For Tying
12	2	FO	1	FO000001	"1/2 4""x8"" Phenolic Board"
13	2	FO	2	FO000002	"2""x2""x10 Lumber"
14	2	FO	3	FO000003	"2""x3""x10""  Lumber"
15	2	FO	4	FO000004	"2"" CWN"
16	2	FO	5	FO000005	"3"" CWN"
17	2	FO	6	FO000006	"2"" Concrete Nail"
18	3	PL	1	PL000001	"PVC PIPE S600 2"""
19	3	PL	2	PL000002	"PVC PIPE S600 3"""
20	3	PL	3	PL000003	"PVC PIPE S600 4"""
21	3	PL	4	PL000004	"PVC PIPE S1000 2"""
22	3	PL	5	PL000005	"PVC PIPE S1000 3"""
23	3	PL	6	PL000006	"PVC PIPE S1000 4"""
24	3	PL	7	PL000007	"PVC Elbow 90°(1/4 Bend) 2"""
25	3	PL	8	PL000008	"PVC Elbow 90°(1/4 Bend) 3"""
26	3	PL	9	PL000009	"PVC Elbow 90°(1/4 Bend) 4"""
27	3	PL	10	PL000010	"PVC Elbow 45°(1/2 Bend) 2"""
28	3	PL	11	PL000011	"PVC Elbow 45°(1/2 Bend) 3"""
29	3	PL	12	PL000012	"PVC Elbow 45°(1/2 Bend) 4"""
30	3	PL	13	PL000013	"PVC TEE 2"""
31	3	PL	14	PL000014	"PVC TEE 3"""
32	3	PL	15	PL000015	"PVC TEE 4"""
33	3	PL	16	PL000016	"PVC WYE 2"""
34	3	PL	17	PL000017	"PVC WYE 3"""
35	3	PL	18	PL000018	"PVC WYE 4"""
36	3	PL	19	PL000019	"PVC COUPLING 2"""
37	3	PL	20	PL000020	"PVC COUPLING 3"""
38	3	PL	21	PL000021	"PVC COUPLING 4"""
39	3	PL	22	PL000022	"PVC CLEANOUT 2"""
40	3	PL	23	PL000023	"PVC CLEANOUT 3"""
41	3	PL	24	PL000024	"PVC CLEANOUT 4"""
42	3	PL	25	PL000025	PVC TEE REDUCER 3 X 2
43	3	PL	26	PL000026	PVC TEE REDUCER 4 X 2
44	3	PL	27	PL000027	PVC TEE REDUCER 4 X 3
45	3	PL	28	PL000028	PVC WYE REDUCER 3 X 2
46	3	PL	29	PL000029	PVC WYE REDUCER 4 X 2
47	3	PL	30	PL000030	PVC WYE REDUCER 4 X 3
48	3	PL	31	PL000031	"PVC TRAP 2"""
49	3	PL	32	PL000032	PVC BUSHING REDUCER 3 X 2
50	3	PL	33	PL000033	PVC BUSHING REDUCER 4 X 2
51	3	PL	34	PL000034	PVC BUSHING REDUCER 4 X 3
52	3	PL	35	PL000035	"PPR pipe ½"" x 13ft   "
53	3	PL	36	PL000036	"PPR pipe 1"" x 13ft   "
54	3	PL	37	PL000037	"½"" PPR elbow 90°   "
55	3	PL	38	PL000038	"1"" PPR elbow 90°   "
56	3	PL	39	PL000039	"½"" PPR tee   "
57	3	PL	40	PL000040	"1"" PPR tee   "
58	3	PL	41	PL000041	"½"" PPR coupling   "
59	3	PL	42	PL000042	"1"" PPR coupling   "
60	3	PL	43	PL000043	"½"" PPR end cap   "
61	3	PL	44	PL000044	"1"" PPR end cap   "
62	3	PL	45	PL000045	"½"" PPR elbow 90° female thread   "
63	3	PL	46	PL000046	"1"" PPR elbow 90° female thread   "
64	3	PL	47	PL000047	"½"" PPR elbow 90° male thread   "
65	3	PL	48	PL000048	"1"" PPR elbow 90° male thread   "
66	3	PL	49	PL000049	"½"" PPR tee male thread   "
67	3	PL	50	PL000050	"1"" PPR tee male thread   "
68	3	PL	51	PL000051	"½"" PPR tee female thread   "
69	3	PL	52	PL000052	"1"" PPR tee female thread   "
70	3	PL	53	PL000053	"½"" PPR male thread adapter   "
71	3	PL	54	PL000054	"1"" PPR male thread adapter   "
72	3	PL	55	PL000055	"½"" PPR female thread adapter   "
73	3	PL	56	PL000056	"1"" PPR female thread adapter   "
74	3	PL	57	PL000057	PPR tee reducer 1 x ½   
75	3	PL	58	PL000058	PPR tee reducer 1 x ¾   
76	3	PL	59	PL000059	PPR tee reducer ¾ x ½   
77	3	PL	60	PL000060	UPVC 63mm   
78	4	EL	1	EL000001	Conduit Pipe ½ 
79	4	EL	2	EL000002	Junction Box 
80	4	EL	3	EL000003	Utility Box 
81	4	EL	4	EL000004	Solvent Cement 400cc 
82	4	EL	5	EL000005	THHN #14 
83	4	EL	6	EL000006	THHN #12 
84	4	EL	7	EL000007	THHN # 10 
85	4	EL	8	EL000008	THHN # 8 
86	4	EL	9	EL000009	Panel Box 14 Branches 
87	4	EL	10	EL000010	Breaker 60A 
88	4	EL	11	EL000011	Breaker 15A 
89	4	EL	12	EL000012	Breaker 20A 
90	4	EL	13	EL000013	Breaker 30A 
91	4	EL	14	EL000014	Single convenience outlet   
92	4	EL	15	EL000015	Double convenience outlet   
93	4	EL	16	EL000016	Weatherproof outlet   
94	4	EL	17	EL000017	Exhaust fan   
95	4	EL	18	EL000018	Panel board   
96	4	EL	19	EL000019	Single switch   
97	4	EL	20	EL000020	2-gang switch   
98	4	EL	21	EL000021	3-gang switch   
